time_id,time,hour,minute,second
302,1970-01-01 00:05:02,0,5,2
303,1970-01-01 00:05:03,0,5,3
304,1970-01-01 00:05:04,0,5,4
305,1970-01-01 00:05:05,0,5,5
306,1970-01-01 00:05:06,0,5,6
307,1970-01-01 00:05:07,0,5,7
308,1970-01-01 00:05:08,0,5,8
309,1970-01-01 00:05:09,0,5,9
310,1970-01-01 00:05:10,0,5,10
311,1970-01-01 00:05:11,0,5,11
312,1970-01-01 00:05:12,0,5,12
313,1970-01-01 00:05:13,0,5,13
314,1970-01-01 00:05:14,0,5,14
315,1970-01-01 00:05:15,0,5,15
316,1970-01-01 00:05:16,0,5,16
317,1970-01-01 00:05:17,0,5,17
318,1970-01-01 00:05:18,0,5,18
319,1970-01-01 00:05:19,0,5,19
320,1970-01-01 00:05:20,0,5,20
321,1970-01-01 00:05:21,0,5,21
322,1970-01-01 00:05:22,0,5,22
323,1970-01-01 00:05:23,0,5,23
324,1970-01-01 00:05:24,0,5,24
325,1970-01-01 00:05:25,0,5,25
326,1970-01-01 00:05:26,0,5,26
327,1970-01-01 00:05:27,0,5,27
328,1970-01-01 00:05:28,0,5,28
329,1970-01-01 00:05:29,0,5,29
330,1970-01-01 00:05:30,0,5,30
331,1970-01-01 00:05:31,0,5,31
332,1970-01-01 00:05:32,0,5,32
333,1970-01-01 00:05:33,0,5,33
334,1970-01-01 00:05:34,0,5,34
335,1970-01-01 00:05:35,0,5,35
336,1970-01-01 00:05:36,0,5,36
337,1970-01-01 00:05:37,0,5,37
338,1970-01-01 00:05:38,0,5,38
339,1970-01-01 00:05:39,0,5,39
340,1970-01-01 00:05:40,0,5,40
341,1970-01-01 00:05:41,0,5,41
342,1970-01-01 00:05:42,0,5,42
343,1970-01-01 00:05:43,0,5,43
344,1970-01-01 00:05:44,0,5,44
345,1970-01-01 00:05:45,0,5,45
346,1970-01-01 00:05:46,0,5,46
347,1970-01-01 00:05:47,0,5,47
348,1970-01-01 00:05:48,0,5,48
349,1970-01-01 00:05:49,0,5,49
350,1970-01-01 00:05:50,0,5,50
351,1970-01-01 00:05:51,0,5,51
352,1970-01-01 00:05:52,0,5,52
353,1970-01-01 00:05:53,0,5,53
354,1970-01-01 00:05:54,0,5,54
355,1970-01-01 00:05:55,0,5,55
356,1970-01-01 00:05:56,0,5,56
357,1970-01-01 00:05:57,0,5,57
358,1970-01-01 00:05:58,0,5,58
359,1970-01-01 00:05:59,0,5,59
360,1970-01-01 00:06:00,0,6,0
361,1970-01-01 00:06:01,0,6,1
362,1970-01-01 00:06:02,0,6,2
363,1970-01-01 00:06:03,0,6,3
364,1970-01-01 00:06:04,0,6,4
365,1970-01-01 00:06:05,0,6,5
366,1970-01-01 00:06:06,0,6,6
367,1970-01-01 00:06:07,0,6,7
368,1970-01-01 00:06:08,0,6,8
369,1970-01-01 00:06:09,0,6,9
370,1970-01-01 00:06:10,0,6,10
371,1970-01-01 00:06:11,0,6,11
372,1970-01-01 00:06:12,0,6,12
373,1970-01-01 00:06:13,0,6,13
374,1970-01-01 00:06:14,0,6,14
375,1970-01-01 00:06:15,0,6,15
376,1970-01-01 00:06:16,0,6,16
377,1970-01-01 00:06:17,0,6,17
378,1970-01-01 00:06:18,0,6,18
379,1970-01-01 00:06:19,0,6,19
380,1970-01-01 00:06:20,0,6,20
381,1970-01-01 00:06:21,0,6,21
382,1970-01-01 00:06:22,0,6,22
383,1970-01-01 00:06:23,0,6,23
384,1970-01-01 00:06:24,0,6,24
385,1970-01-01 00:06:25,0,6,25
386,1970-01-01 00:06:26,0,6,26
387,1970-01-01 00:06:27,0,6,27
388,1970-01-01 00:06:28,0,6,28
389,1970-01-01 00:06:29,0,6,29
390,1970-01-01 00:06:30,0,6,30
391,1970-01-01 00:06:31,0,6,31
392,1970-01-01 00:06:32,0,6,32
393,1970-01-01 00:06:33,0,6,33
394,1970-01-01 00:06:34,0,6,34
395,1970-01-01 00:06:35,0,6,35
396,1970-01-01 00:06:36,0,6,36
397,1970-01-01 00:06:37,0,6,37
398,1970-01-01 00:06:38,0,6,38
399,1970-01-01 00:06:39,0,6,39
400,1970-01-01 00:06:40,0,6,40
401,1970-01-01 00:06:41,0,6,41
402,1970-01-01 00:06:42,0,6,42
403,1970-01-01 00:06:43,0,6,43
404,1970-01-01 00:06:44,0,6,44
405,1970-01-01 00:06:45,0,6,45
406,1970-01-01 00:06:46,0,6,46
407,1970-01-01 00:06:47,0,6,47
408,1970-01-01 00:06:48,0,6,48
409,1970-01-01 00:06:49,0,6,49
410,1970-01-01 00:06:50,0,6,50
411,1970-01-01 00:06:51,0,6,51
412,1970-01-01 00:06:52,0,6,52
413,1970-01-01 00:06:53,0,6,53
414,1970-01-01 00:06:54,0,6,54
415,1970-01-01 00:06:55,0,6,55
416,1970-01-01 00:06:56,0,6,56
417,1970-01-01 00:06:57,0,6,57
418,1970-01-01 00:06:58,0,6,58
419,1970-01-01 00:06:59,0,6,59
420,1970-01-01 00:07:00,0,7,0
421,1970-01-01 00:07:01,0,7,1
422,1970-01-01 00:07:02,0,7,2
423,1970-01-01 00:07:03,0,7,3
424,1970-01-01 00:07:04,0,7,4
425,1970-01-01 00:07:05,0,7,5
426,1970-01-01 00:07:06,0,7,6
427,1970-01-01 00:07:07,0,7,7
428,1970-01-01 00:07:08,0,7,8
429,1970-01-01 00:07:09,0,7,9
430,1970-01-01 00:07:10,0,7,10
431,1970-01-01 00:07:11,0,7,11
432,1970-01-01 00:07:12,0,7,12
433,1970-01-01 00:07:13,0,7,13
434,1970-01-01 00:07:14,0,7,14
435,1970-01-01 00:07:15,0,7,15
436,1970-01-01 00:07:16,0,7,16
437,1970-01-01 00:07:17,0,7,17
438,1970-01-01 00:07:18,0,7,18
439,1970-01-01 00:07:19,0,7,19
440,1970-01-01 00:07:20,0,7,20
441,1970-01-01 00:07:21,0,7,21
442,1970-01-01 00:07:22,0,7,22
443,1970-01-01 00:07:23,0,7,23
444,1970-01-01 00:07:24,0,7,24
445,1970-01-01 00:07:25,0,7,25
446,1970-01-01 00:07:26,0,7,26
447,1970-01-01 00:07:27,0,7,27
448,1970-01-01 00:07:28,0,7,28
449,1970-01-01 00:07:29,0,7,29
450,1970-01-01 00:07:30,0,7,30
451,1970-01-01 00:07:31,0,7,31
452,1970-01-01 00:07:32,0,7,32
453,1970-01-01 00:07:33,0,7,33
454,1970-01-01 00:07:34,0,7,34
455,1970-01-01 00:07:35,0,7,35
456,1970-01-01 00:07:36,0,7,36
457,1970-01-01 00:07:37,0,7,37
458,1970-01-01 00:07:38,0,7,38
459,1970-01-01 00:07:39,0,7,39
460,1970-01-01 00:07:40,0,7,40
461,1970-01-01 00:07:41,0,7,41
462,1970-01-01 00:07:42,0,7,42
463,1970-01-01 00:07:43,0,7,43
464,1970-01-01 00:07:44,0,7,44
465,1970-01-01 00:07:45,0,7,45
466,1970-01-01 00:07:46,0,7,46
467,1970-01-01 00:07:47,0,7,47
468,1970-01-01 00:07:48,0,7,48
469,1970-01-01 00:07:49,0,7,49
470,1970-01-01 00:07:50,0,7,50
471,1970-01-01 00:07:51,0,7,51
472,1970-01-01 00:07:52,0,7,52
473,1970-01-01 00:07:53,0,7,53
474,1970-01-01 00:07:54,0,7,54
475,1970-01-01 00:07:55,0,7,55
476,1970-01-01 00:07:56,0,7,56
477,1970-01-01 00:07:57,0,7,57
478,1970-01-01 00:07:58,0,7,58
479,1970-01-01 00:07:59,0,7,59
480,1970-01-01 00:08:00,0,8,0
481,1970-01-01 00:08:01,0,8,1
482,1970-01-01 00:08:02,0,8,2
483,1970-01-01 00:08:03,0,8,3
484,1970-01-01 00:08:04,0,8,4
485,1970-01-01 00:08:05,0,8,5
486,1970-01-01 00:08:06,0,8,6
487,1970-01-01 00:08:07,0,8,7
488,1970-01-01 00:08:08,0,8,8
489,1970-01-01 00:08:09,0,8,9
490,1970-01-01 00:08:10,0,8,10
491,1970-01-01 00:08:11,0,8,11
492,1970-01-01 00:08:12,0,8,12
493,1970-01-01 00:08:13,0,8,13
494,1970-01-01 00:08:14,0,8,14
495,1970-01-01 00:08:15,0,8,15
496,1970-01-01 00:08:16,0,8,16
497,1970-01-01 00:08:17,0,8,17
498,1970-01-01 00:08:18,0,8,18
499,1970-01-01 00:08:19,0,8,19
500,1970-01-01 00:08:20,0,8,20
501,1970-01-01 00:08:21,0,8,21
502,1970-01-01 00:08:22,0,8,22
503,1970-01-01 00:08:23,0,8,23
504,1970-01-01 00:08:24,0,8,24
505,1970-01-01 00:08:25,0,8,25
506,1970-01-01 00:08:26,0,8,26
507,1970-01-01 00:08:27,0,8,27
508,1970-01-01 00:08:28,0,8,28
509,1970-01-01 00:08:29,0,8,29
510,1970-01-01 00:08:30,0,8,30
511,1970-01-01 00:08:31,0,8,31
512,1970-01-01 00:08:32,0,8,32
513,1970-01-01 00:08:33,0,8,33
514,1970-01-01 00:08:34,0,8,34
515,1970-01-01 00:08:35,0,8,35
516,1970-01-01 00:08:36,0,8,36
517,1970-01-01 00:08:37,0,8,37
518,1970-01-01 00:08:38,0,8,38
519,1970-01-01 00:08:39,0,8,39
520,1970-01-01 00:08:40,0,8,40
521,1970-01-01 00:08:41,0,8,41
522,1970-01-01 00:08:42,0,8,42
523,1970-01-01 00:08:43,0,8,43
524,1970-01-01 00:08:44,0,8,44
525,1970-01-01 00:08:45,0,8,45
526,1970-01-01 00:08:46,0,8,46
527,1970-01-01 00:08:47,0,8,47
528,1970-01-01 00:08:48,0,8,48
529,1970-01-01 00:08:49,0,8,49
530,1970-01-01 00:08:50,0,8,50
531,1970-01-01 00:08:51,0,8,51
532,1970-01-01 00:08:52,0,8,52
533,1970-01-01 00:08:53,0,8,53
534,1970-01-01 00:08:54,0,8,54
535,1970-01-01 00:08:55,0,8,55
536,1970-01-01 00:08:56,0,8,56
537,1970-01-01 00:08:57,0,8,57
538,1970-01-01 00:08:58,0,8,58
539,1970-01-01 00:08:59,0,8,59
540,1970-01-01 00:09:00,0,9,0
541,1970-01-01 00:09:01,0,9,1
542,1970-01-01 00:09:02,0,9,2
543,1970-01-01 00:09:03,0,9,3
544,1970-01-01 00:09:04,0,9,4
545,1970-01-01 00:09:05,0,9,5
546,1970-01-01 00:09:06,0,9,6
547,1970-01-01 00:09:07,0,9,7
548,1970-01-01 00:09:08,0,9,8
549,1970-01-01 00:09:09,0,9,9
550,1970-01-01 00:09:10,0,9,10
551,1970-01-01 00:09:11,0,9,11
552,1970-01-01 00:09:12,0,9,12
553,1970-01-01 00:09:13,0,9,13
554,1970-01-01 00:09:14,0,9,14
555,1970-01-01 00:09:15,0,9,15
556,1970-01-01 00:09:16,0,9,16
557,1970-01-01 00:09:17,0,9,17
558,1970-01-01 00:09:18,0,9,18
559,1970-01-01 00:09:19,0,9,19
560,1970-01-01 00:09:20,0,9,20
